Gene_ID	GO_Term
STXBP5L	GO:0016020
EPN3	GO:0008289
CETN3	GO:0005509
TMEM131L	GO:0016020
A0A674G6Z4	GO:0000166
A0A674G6Z4	GO:0003924
A0A674G6Z4	GO:0005525
A0A674G6Z4	GO:0005525
A0A674G6Z4	GO:0006400
A0A674G6Z4	GO:0008033
NME6	GO:0000166
NME6	GO:0004550
NME6	GO:0004550
NME6	GO:0005524
NME6	GO:0016301
NME6	GO:0016740
NME6	GO:0006165
NME6	GO:0006183
NME6	GO:0006228
NME6	GO:0006241
NME6	GO:0016310
A0A674G6Z7	GO:0016020
POU3F4	GO:0000981
POU3F4	GO:0003677
POU3F4	GO:0003677
POU3F4	GO:0003677
POU3F4	GO:0003677
POU3F4	GO:0003700
POU3F4	GO:0006351
POU3F4	GO:0006355
POU3F4	GO:0006355
POU3F4	GO:0006357
POU3F4	GO:0007420
POU3F4	GO:0005634
POU3F4	GO:0005634
POU3F4	GO:0005634
POU3F4	GO:0005634
POU3F4	GO:0005634
A0A674G700	GO:0031267
A0A674G700	GO:0015031
A0A674G700	GO:0005768
A0A674G700	GO:0016020
ROS1	GO:0000166
ROS1	GO:0000166
ROS1	GO:0004672
ROS1	GO:0004713
ROS1	GO:0004713
ROS1	GO:0004714
ROS1	GO:0004714
ROS1	GO:0005524
ROS1	GO:0005524
ROS1	GO:0005524
ROS1	GO:0006468
ROS1	GO:0007169
ROS1	GO:0018108
ROS1	GO:0018108
ROS1	GO:0016020
ROS1	GO:0016020
ROS1	GO:0016020
UBE2K	GO:0000166
UBE2K	GO:0005524
UBE2K	GO:0016740
UBE2K	GO:0061631
UBE2K	GO:0016567
DOT1L	GO:0008168
DOT1L	GO:0016740
DOT1L	GO:0018024
DOT1L	GO:0018024
DOT1L	GO:0031151
DOT1L	GO:0031151
DOT1L	GO:0000077
DOT1L	GO:0006281
DOT1L	GO:0006325
DOT1L	GO:0031507
DOT1L	GO:0032259
DOT1L	GO:0034729
DOT1L	GO:0034729
DOT1L	GO:0034729
DOT1L	GO:0051726
DOT1L	GO:2000677
DOT1L	GO:0005634
DOT1L	GO:0005634
DOT1L	GO:0005634
DOT1L	GO:0005634
DOT1L	GO:0005634
DOT1L	GO:0005634
ACTR8	GO:0000166
ACTR8	GO:0005524
ACTR8	GO:0006281
ACTR8	GO:0006310
ACTR8	GO:0006338
ACTR8	GO:0006974
ACTR8	GO:0005634
ACTR8	GO:0005634
ACTR8	GO:0005694
ACTR8	GO:0031011
PLAGL2	GO:0003677
PLAGL2	GO:0046872
PLAGL2	GO:0006351
PLAGL2	GO:0005634
PLAGL2	GO:0005634
SOSTDC1	GO:0005615
TRNP1	GO:0003677
TRNP1	GO:0042127
TRNP1	GO:0005634
PDE10A	GO:0004114
PDE10A	GO:0008081
PDE10A	GO:0016787
PDE10A	GO:0046872
PDE10A	GO:0007165
NDUFA13	GO:0005739
NDUFA13	GO:0005739
NDUFA13	GO:0005743
NDUFA13	GO:0005743
NDUFA13	GO:0016020
NDUFA13	GO:0070469
NDUFA13	GO:0005747
A0A674G716	GO:0016020
A0A674G716	GO:0016020
LOC115492255	GO:0003735
LOC115492255	GO:0006412
LOC115492255	GO:0032543
LOC115492255	GO:0005739
LOC115492255	GO:0005739
LOC115492255	GO:0005840
LOC115492255	GO:0005840
LOC115492255	GO:1990904
RABGEF1	GO:0003677
RABGEF1	GO:0005085
RABGEF1	GO:0008270
RABGEF1	GO:0046872
RABGEF1	GO:0016192
RABGEF1	GO:0050790
VIPAS39	GO:0005768
VIPAS39	GO:0005768
VIPAS39	GO:0005768
VIPAS39	GO:0005770
VIPAS39	GO:0031410
VIPAS39	GO:0032991
MAGI3	GO:0060090
MAGI3	GO:0007165
MAGI3	GO:0046328
MAGI3	GO:0005886
MAGI3	GO:0005911
